% Model,Evan_continuous_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 9 2020, 11:06"
% Table,Probe Table 1 - 
% beta_e (1),beta_i (1),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0,0,-9.32846386409012E8,0.8416222522888359,3.731385853478928E9,5.093271395929047E-5,-9.328463864089146E8,1800,6,60,-9.068643927235113E-6,9089.520324719464,-1.8389933122220115E-4
0.1,0,-9.31169063240332E8,0.8409947479894108,3.725823767219948E9,-287464.29539624235,-9.314562446527027E8,1800,6,60,-89.50860204454715,9082.743278285652,-0.0016837638795747054
0.2,0,-9.256832917445729E8,0.8387505450000371,3.7059655018124943E9,-809180.8589589399,-9.264914787833111E8,1800,6,60,-150.65072537105303,9058.505886000483,-0.0031542404243632316
0.30000000000000004,0,-9.146698496912054E8,0.8337904805197485,3.662263649693234E9,-897838.5965749173,-9.155661296901339E8,1800,6,60,-159.05544916363954,9004.937189613254,-0.005287138370544109
0.4,0,-8.945604442753866E8,0.8243320017622928,3.579645846637814E9,-353151.68846542,-8.949126548872677E8,1800,6,60,-99.53111877555158,8902.785619032638,-0.0072136397420331615
0.5,0,-8.602881379585749E8,0.8082418337958227,3.4412671769256077E9,-29180.96235727404,-8.603171943507812E8,1800,6,60,28.302036663706026,8729.011804994956,0.0025765692759399483
0.6000000000000001,0,-8.073587497312013E8,0.7837579352311049,3.235933911666371E9,-1635764.1427272584,-8.089832328839291E8,1800,6,60,207.2303059844649,8464.58570049578,0.021780108921916397
0.7000000000000001,0,-7.347760351316041E8,0.750333425223604,2.965816851140834E9,-6751742.532471144,-7.414540244646349E8,1800,6,60,406.7372433016086,8103.600992414927,0.05814509442403166
0.8,0,-6.465974638192122E8,0.709037898114569,2.6483454830179677E9,-1.575063613675758E7,-6.62086121499616E8,1800,6,60,593.8398958365761,7657.609299637229,0.10941384750938311
0.9,0,-5.507189384523815E8,0.6622076261713495,2.310064452998729E9,-2.7459342420864996E7,-5.775163117204754E8,1800,6,60,744.1242255922934,7151.842362650623,0.1725268595504184
1,0,-4.5588686538323486E8,0.6126442496621308,1.977181400539148E9,-3.9729089340105556E7,-4.942958852417518E8,1800,6,60,846.6373335675183,6616.512585674197,0.23805220013401285
1.1,0,-3.6903996867694086E8,0.5630163981812838,1.6689357179154656E9,-5.040017887099122E7,-4.1723426706233114E8,1800,6,60,902.0919233588321,6078.909661962632,0.2959237571276295
1.2000000000000002,0,-2.941574706826548E8,0.5153548808744043,1.395857357441416E9,-5.802878719782167E7,-3.489645459632069E8,1800,6,60,918.0184864661297,5559.3805684178415,0.34656499561057935
1.3,0,-2.3245862672912642E8,0.470731442606336,1.1612919380547223E9,-6.2110202404533215E7,-2.9032331163505286E8,1800,6,60,904.2941200819082,5070.801268388898,0.3840237487573009
1.4000000000000001,0,-1.832547643429554E8,0.42974989100943767,9.639370404535743E8,-6.29024029376693E7,-2.409845192039216E8,1800,6,60,870.3608311583598,4619.874938161897,0.4089122343139052
1.5,0,-1.4486296146208498E8,0.3924622618955979,8.000682655339601E8,-6.109074223563318E7,-2.0001745492467633E8,1800,6,60,823.9929001759426,4208.907749742793,0.421792687922918
1.6,0,-1.1528769423774834E8,0.3587465231414318,6.650594352908906E8,-5.7484995130972855E7,-1.662652309980838E8,1800,6,60,771.0389967061146,3837.3915453510303,0.42500823923977477
1.7000000000000002,0,-9.262657425409065E7,0.3284413020074084,5.542620026386863E8,-5.282472470805364E7,-1.385657932353174E8,1800,6,60,715.6187386886279,3503.187947766696,0.4197838934265127
1.8,0,-7.525523240185161E7,0.30123382454032915,4.6344130417391837E8,-4.769166927673734E7,-1.1586058045019877E8,1800,6,60,660.4750193977078,3203.341599019572,0.4053272564513632
1.9000000000000001,0,-6.187242606301904E7,0.2768362968757292,3.889430686810712E8,-4.249735341711318E7,-9.72360031165434E7,1800,6,60,607.3280529905555,2934.5999306301815,0.37999934748933006
2,0,-5.147740321089415E7,0.25491895501742956,3.277126401647585E8,-3.750516851760467E7,-8.192844890768509E7,1800,6,60,557.1737465597996,2693.7201884248825,0.345441112197985
2.1,0,-4.331813518389132E7,0.23521098908709465,2.772466928975183E8,-3.2866368125477377E7,-6.93114159847941E7,1800,6,60,510.5164702192315,2477.644952717459,0.30439434974434587
2.2,0,-3.6839118452353776E7,0.2174564390692241,2.3551559711589596E8,-2.8653268568650257E7,-5.887804886724309E7,1800,6,60,467.532985739452,2283.577323102998,0.2532717894853114
2.3000000000000003,0,-3.1633213838409822E7,0.2014207195436936,2.008830140834715E8,-2.4886589869817987E7,-5.02209840569745E7,1800,6,60,428.19153948574836,2109.00443370607,0.20296007597800314
2.4000000000000004,0,-2.7396280842966363E7,0.18690370937763887,1.7203593561491525E8,-2.155811210855776E7,-4.300933818027759E7,1800,6,60,392.3505122862844,1951.710828148739,0.14606069440326985
2.5,0,-2.3906891008518644E7,0.17374245522280649,1.4791722037284958E8,-1.864051799936166E7,-3.697886579467856E7,1800,6,60,359.7932858530969,1809.7361152066971,0.09633587482930066
2.6,0,-2.1093010421331134E7,0.16174733754217066,1.2754389078046723E8,-1.5990339241437951E7,-3.160427983962652E7,1800,6,60,329.7749183500687,1680.4891589678762,-2.0320804674124076
