% Model,seg_far_constant_B.mph,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,
% Date,"Jun 4 2021, 14:49",,,,,,,,,,
% Table,Probe Table 1 - ,,,,,,,,,,
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),r_r (Î©),"ec.Ey*ec.Jy (W/m^3), Channel Faraday Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Channel Total Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Average Power","abs(ec.Ey/(U_x(y)*B_z(x))) (V/m), K ",Max Applied Magnetic Field Strength (T),Conductivity of plasma (S/m),Max fluid flow (m/s),Electron mobility within plasma (m^2/(V*s)),Ion mobility within plasma (m^2/(V*s))
1.66666666666667,0.001666666666667,5,-1254381095.64972,-1056424201.73938,572229254904.85,0.436989682272117,6,60,1800,1.66666666666667,0.001666666666667
1.66666666666667,0.001666666666667,5.5,-1289477290.63644,-1101291997.10729,596532634964.424,0.448880250053878,6,60,1800,1.66666666666667,0.001666666666667
1.66666666666667,0.001666666666667,6,-1319289806.52051,-1140210268.11793,617613137090.06,0.460278467290764,6,60,1800,1.66666666666667,0.001666666666667
1.66666666666667,0.001666666666667,6.5,-1344483440.56751,-1173893012.99229,635858553414.589,0.471213143067704,6,60,1800,1.66666666666667,0.001666666666667
1.66666666666667,0.001666666666667,7,-1365626649.92578,-1202960946.38801,651603245785.576,0.481716278153427,6,60,1800,1.66666666666667,0.001666666666667
1.66666666666667,0.001666666666667,7.5,-1383214794.7977,-1227951010.75891,665139812765.283,0.491808650132935,6,60,1800,1.66666666666667,0.001666666666667
1.66666666666667,0.001666666666667,8,-1397673424.35114,-1249332511.67379,676721537903.898,0.501517123645287,6,60,1800,1.66666666666667,0.001666666666667
1.66666666666667,0.001666666666667,8.5,-1409374062.27028,-1267515472.00122,686570196877.769,0.510871953867294,6,60,1800,1.66666666666667,0.001666666666667
1.66666666666667,0.001666666666667,9,-1418641668.40989,-1282858380.75221,694880915733.346,0.519887799368327,6,60,1800,1.66666666666667,0.001666666666667
1.66666666666667,0.001666666666667,9.5,-1425760636.92906,-1295676711.81235,701824670522.247,0.528582083045781,6,60,1800,1.66666666666667,0.001666666666667
1.66666666666667,0.001666666666667,10,-1430976670.10992,-1306248392.8914,707550738089.205,0.536973290185452,6,60,1800,1.66666666666667,0.001666666666667
1.66666666666667,0.001666666666667,10.5,-1434510902.68366,-1314818027.33889,712192999097.157,0.545080985623602,6,60,1800,1.66666666666667,0.001666666666667
1.66666666666667,0.001666666666667,11,-1436554019.7205,-1321602543.33447,715867845989.484,0.552916835880017,6,60,1800,1.66666666666667,0.001666666666667
1.66666666666667,0.001666666666667,11.5,-1437276402.15373,-1326793429.08276,718679633316.145,0.560491375406263,6,60,1800,1.66666666666667,0.001666666666667
1.66666666666667,0.001666666666667,12,-1436827425.93678,-1330561195.92019,720720091714.194,0.567819023349286,6,60,1800,1.66666666666667,0.001666666666667
1.66666666666667,0.001666666666667,12.5,-1435341300.48865,-1333056812.69082,722071918350.217,0.574916376086915,6,60,1800,1.66666666666667,0.001666666666667
1.66666666666667,0.001666666666667,13,-1432936057.37582,-1334415259.26219,722807953884.88,0.581793048045491,6,60,1800,1.66666666666667,0.001666666666667
1.66666666666667,0.001666666666667,13.5,-1429715476.4812,-1334756837.0675,722992893011.947,0.588458597903247,6,60,1800,1.66666666666667,0.001666666666667
1.66666666666667,0.001666666666667,14,-1425773766.33496,-1334188987.20109,722685212464.804,0.594918852974178,6,60,1800,1.66666666666667,0.001666666666667
1.66666666666667,0.001666666666667,14.5,-1421194798.92479,-1332807598.45473,721937313234.436,0.60118493811607,6,60,1800,1.66666666666667,0.001666666666667
1.66666666666667,0.001666666666667,15,-1416050755.22977,-1330698677.18573,720795023328.082,0.607267598855421,6,60,1800,1.66666666666667,0.001666666666667
1.66666666666667,0.003333333333333,5,-1122738432.05378,-953432614.589202,516442021503.381,0.410153385918884,6,60,1800,1.66666666666667,0.003333333333333
1.66666666666667,0.003333333333333,5.5,-1157921335.93436,-996575148.237978,539811164494.89,0.422160286379783,6,60,1800,1.66666666666667,0.003333333333333
1.66666666666667,0.003333333333333,6,-1188302423.29373,-1034401287.08418,560300069221.159,0.433692184854066,6,60,1800,1.66666666666667,0.003333333333333
1.66666666666667,0.003333333333333,6.5,-1214451739.55819,-1067516347.97627,578237585382.673,0.444777612065219,6,60,1800,1.66666666666667,0.003333333333333
1.66666666666667,0.003333333333333,7,-1236861139.67478,-1096449117.35725,593909561714.08,0.455445782796431,6,60,1800,1.66666666666667,0.003333333333333
1.66666666666667,0.003333333333333,7.5,-1255960789.94003,-1121662678.87896,607566716433.901,0.465715124857326,6,60,1800,1.66666666666667,0.003333333333333
1.66666666666667,0.003333333333333,8,-1272125930.24256,-1143562000.55035,619429246751.71,0.475613433062356,6,60,1800,1.66666666666667,0.003333333333333
1.66666666666667,0.003333333333333,8.5,-1285683268.67462,-1162505357.10545,629689647252.648,0.485168923701855,6,60,1800,1.66666666666667,0.003333333333333
1.66666666666667,0.003333333333333,9,-1296923023.75119,-1178806099.78081,638519481351.887,0.494387739320376,6,60,1800,1.66666666666667,0.003333333333333
1.66666666666667,0.003333333333333,9.5,-1306098705.20921,-1192743295.42247,646069156674.691,0.503291586092056,6,60,1800,1.66666666666667,0.003333333333333
1.66666666666667,0.003333333333333,10,-1313433265.14534,-1204563316.72201,652471437131.121,0.511897120238882,6,60,1800,1.66666666666667,0.003333333333333
1.66666666666667,0.003333333333333,10.5,-1319125817.01849,-1214484451.51815,657845360992.132,0.520221428626899,6,60,1800,1.66666666666667,0.003333333333333
1.66666666666667,0.003333333333333,11,-1323352935.09768,-1222701577.23098,662296425525.479,0.528272751368255,6,60,1800,1.66666666666667,0.003333333333333
1.66666666666667,0.003333333333333,11.5,-1326269380.39774,-1229387395.27218,665917959223.783,0.536067232908568,6,60,1800,1.66666666666667,0.003333333333333
1.66666666666667,0.003333333333333,12,-1328014286.28954,-1234696712.52469,668793693676.752,0.543618289010195,6,60,1800,1.66666666666667,0.003333333333333
1.66666666666667,0.003333333333333,12.5,-1328711961.59871,-1238767727.17164,670998602241.422,0.550936331885721,6,60,1800,1.66666666666667,0.003333333333333
1.66666666666667,0.003333333333333,13,-1328472612.7046,-1241723532.94486,672599778560.617,0.558033843106885,6,60,1800,1.66666666666667,0.003333333333333
1.66666666666667,0.003333333333333,13.5,-1327395318.09872,-1243675523.21289,673657374706.732,0.564918163594439,6,60,1800,1.66666666666667,0.003333333333333
1.66666666666667,0.003333333333333,14,-1325567572.5861,-1244723310.4589,674224596473.866,0.571597780677809,6,60,1800,1.66666666666667,0.003333333333333
1.66666666666667,0.003333333333333,14.5,-1323070081.03994,-1244955813.5202,674350862196.408,0.578081911412395,6,60,1800,1.66666666666667,0.003333333333333
1.66666666666667,0.003333333333333,15,-1319972643.07747,-1244453922.84235,674078949456.127,0.584379463070558,6,60,1800,1.66666666666667,0.003333333333333
1.66666666666667,0.005,5,-1010204547.06137,-864458683.945941,468248098729.412,0.386160069029266,6,60,1800,1.66666666666667,0.005
1.66666666666667,0.005,5.5,-1044969372.30062,-905764651.630082,490622144197.025,0.398202513750778,6,60,1800,1.66666666666667,0.005
1.66666666666667,0.005,6,-1075376876.47169,-942309906.897366,510417544061.926,0.409790696707406,6,60,1800,1.66666666666667,0.005
1.66666666666667,0.005,6.5,-1101915838.67,-974610340.327486,527913850808.686,0.420952241663171,6,60,1800,1.66666666666667,0.005
1.66666666666667,0.005,7,-1125012984.99482,-1003119622.85651,543356218411.145,0.43171005899643,6,60,1800,1.66666666666667,0.005
1.66666666666667,0.005,7.5,-1145042568.63004,-1028236294.58252,556960950372.304,0.442083977670913,6,60,1800,1.66666666666667,0.005
1.66666666666667,0.005,8,-1162334171.17875,-1050312630.04281,568919168841.648,0.45210224982542,6,60,1800,1.66666666666667,0.005
1.66666666666667,0.005,8.5,-1177177182.68614,-1069660718.50687,579399478837.914,0.461784800563307,6,60,1800,1.66666666666667,0.005
1.66666666666667,0.005,9,-1189827511.24355,-1086556900.98631,588551273142.611,0.471141239774074,6,60,1800,1.66666666666667,0.005
1.66666666666667,0.005,9.5,-1200513325.41836,-1101246698.54885,596508474259.95,0.480190681079297,6,60,1800,1.66666666666667,0.005
1.66666666666667,0.005,10,-1209435241.10354,-1113949108.27832,603388785385.579,0.488948410594532,6,60,1800,1.66666666666667,0.005
1.66666666666667,0.005,10.5,-1216772957.04023,-1124859105.13451,609298285787.527,0.497428695274409,6,60,1800,1.66666666666667,0.005
1.66666666666667,0.005,11,-1222686683.48528,-1134151099.66346,614331566465.428,0.505640851294291,6,60,1800,1.66666666666667,0.005
1.66666666666667,0.005,11.5,-1227318952.18396,-1141981284.55153,618573011901.567,0.513601446238369,6,60,1800,1.66666666666667,0.005
1.66666666666667,0.005,12,-1230797225.92131,-1148489981.04213,622098387131.71,0.52131764486613,6,60,1800,1.66666666666667,0.005
1.66666666666667,0.005,12.5,-1233236426.49184,-1153802245.17175,624976092471.118,0.52880656252789,6,60,1800,1.66666666666667,0.005
1.66666666666667,0.005,13,-1234738517.5922,-1158032079.65798,627266946508.288,0.536074264214227,6,60,1800,1.66666666666667,0.005
1.66666666666667,0.005,13.5,-1235397286.22588,-1161280805.17776,629026894131.747,0.54312869575278,6,60,1800,1.66666666666667,0.005
1.66666666666667,0.005,14,-1235294191.87475,-1163640546.32704,630304876053.366,0.549981028065314,6,60,1800,1.66666666666667,0.005
1.66666666666667,0.005,14.5,-1234505125.44542,-1165194116.94811,631146576710.388,0.556638947489498,6,60,1800,1.66666666666667,0.005
1.66666666666667,0.005,15,-1233096976.80459,-1166016749.77851,631592115402.099,0.563108347284199,6,60,1800,1.66666666666667,0.005
1.66666666666667,0.006666666666667,5,-913325312.457106,-787115297.05338,426353721549.317,0.36460847208584,6,60,1800,1.66666666666667,0.006666666666667
1.66666666666667,0.006666666666667,5.5,-947341886.593646,-826549230.857641,447714016354.948,0.376624219718813,6,60,1800,1.66666666666667,0.006666666666667
1.66666666666667,0.006666666666667,6,-977404131.147977,-861710861.43045,466759846742.509,0.388208314558143,6,60,1800,1.66666666666667,0.006666666666667
1.66666666666667,0.006666666666667,6.5,-1003933765.35096,-893041629.000808,483730496360.743,0.399386759143614,6,60,1800,1.66666666666667,0.006666666666667
1.66666666666667,0.006666666666667,7,-1027302051.51684,-920931027.51074,498837503955.709,0.410175982676493,6,60,1800,1.66666666666667,0.006666666666667
1.66666666666667,0.006666666666667,7.5,-1047834440.90512,-945725306.560588,512267548164.762,0.420596890395777,6,60,1800,1.66666666666667,0.006666666666667
1.66666666666667,0.006666666666667,8,-1065820797.59789,-967730854.616062,524187210247.633,0.43067918485844,6,60,1800,1.66666666666667,0.006666666666667
1.66666666666667,0.006666666666667,8.5,-1081516903.68528,-987220677.163506,534744014411.859,0.440435780920347,6,60,1800,1.66666666666667,0.006666666666667
1.66666666666667,0.006666666666667,9,-1095151370.05624,-1004437695.3055,544070270876.575,0.449877528859352,6,60,1800,1.66666666666667,0.006666666666667
1.66666666666667,0.006666666666667,9.5,-1106925212.01701,-1019599844.95001,552282675847.881,0.459021285718924,6,60,1800,1.66666666666667,0.006666666666667
1.66666666666667,0.006666666666667,10,-1117021801.68293,-1032900912.42771,559487680095.966,0.467880360320199,6,60,1800,1.66666666666667,0.006666666666667
1.66666666666667,0.006666666666667,10.5,-1125601431.23542,-1044515526.90311,565778909666.424,0.476467250079297,6,60,1800,1.66666666666667,0.006666666666667
1.66666666666667,0.006666666666667,11,-1132810170.05446,-1054600155.8315,571241643485.474,0.484794675899968,6,60,1800,1.66666666666667,0.006666666666667
1.66666666666667,0.006666666666667,11.5,-1138776766.40375,-1063295912.97369,575951201345.929,0.492871265232743,6,60,1800,1.66666666666667,0.006666666666667
1.66666666666667,0.006666666666667,12,-1143620588.77479,-1070728851.66977,579977808241.145,0.500710878342299,6,60,1800,1.66666666666667,0.006666666666667
1.66666666666667,0.006666666666667,12.5,-1147445432.67448,-1077013920.52814,583382222627.555,0.508325745231736,6,60,1800,1.66666666666667,0.006666666666667
1.66666666666667,0.006666666666667,13,-1150347035.924,-1082254257.10932,586221003938.667,0.515723084670671,6,60,1800,1.66666666666667,0.006666666666667
1.66666666666667,0.006666666666667,13.5,-1152410086.86844,-1086543432.25972,588544113825.173,0.52290989053414,6,60,1800,1.66666666666667,0.006666666666667
1.66666666666667,0.006666666666667,14,-1153713137.57769,-1089965936.07848,590397944074.519,0.529896696234207,6,60,1800,1.66666666666667,0.006666666666667
1.66666666666667,0.006666666666667,14.5,-1154326503.57953,-1092598697.00004,591824063829.38,0.536689578944283,6,60,1800,1.66666666666667,0.006666666666667
1.66666666666667,0.006666666666667,15,-1154313032.88382,-1094511264.81341,592860038798.306,0.543301789710789,6,60,1800,1.66666666666667,0.006666666666667
1.66666666666667,0.008333333333333,5,-829384165.449083,-719495014.271508,389726057005.015,0.345164273580684,6,60,1800,1.66666666666667,0.008333333333333
1.66666666666667,0.008333333333333,5.5,-862440875.356106,-757071773.338031,410080229671.773,0.35710560413351,6,60,1800,1.66666666666667,0.008333333333333
1.66666666666667,0.008333333333333,6,-891907744.548833,-790804680.211752,428352318540.522,0.368639866685379,6,60,1800,1.66666666666667,0.008333333333333
1.66666666666667,0.008333333333333,6.5,-918149277.145693,-821073610.418058,444747800243.138,0.379786603496852,6,60,1800,1.66666666666667,0.008333333333333
1.66666666666667,0.008333333333333,7,-941488093.373957,-848215194.360207,459449522675.658,0.390562699195062,6,60,1800,1.66666666666667,0.008333333333333
1.66666666666667,0.008333333333333,7.5,-962210057.395574,-872530065.127465,472620044098.448,0.400989065688724,6,60,1800,1.66666666666667,0.008333333333333
1.66666666666667,0.008333333333333,8,-980569406.731238,-894285911.029091,484404515983.576,0.411091342066021,6,60,1800,1.66666666666667,0.008333333333333
1.66666666666667,0.008333333333333,8.5,-996792937.08024,-913722523.878367,494932710249.851,0.420878862918624,6,60,1800,1.66666666666667,0.008333333333333
1.66666666666667,0.008333333333333,9,-1011082991.64197,-931054044.416949,504320812161.808,0.430364703967098,6,60,1800,1.66666666666667,0.008333333333333
1.66666666666667,0.008333333333333,9.5,-1023620386.60206,-946473851.226817,512672739733.99,0.439560572018345,6,60,1800,1.66666666666667,0.008333333333333
1.66666666666667,0.008333333333333,10,-1034568834.31192,-960153660.958476,520083085436.612,0.448482111087552,6,60,1800,1.66666666666667,0.008333333333333
1.66666666666667,0.008333333333333,10.5,-1044073056.03462,-972250818.819749,526635261431.96,0.457136998851001,6,60,1800,1.66666666666667,0.008333333333333
1.66666666666667,0.008333333333333,11,-1052265886.87125,-982904537.010963,532406325048.623,0.465540027184774,6,60,1800,1.66666666666667,0.008333333333333
1.66666666666667,0.008333333333333,11.5,-1059264944.54502,-992242606.623741,537464380187.807,0.473698013559058,6,60,1800,1.66666666666667,0.008333333333333
1.66666666666667,0.008333333333333,12,-1065177586.42205,-1000379545.60382,541871821922.567,0.481625030009886,6,60,1800,1.66666666666667,0.008333333333333
1.66666666666667,0.008333333333333,12.5,-1070100670.22601,-1007419180.45601,545685089362.814,0.489331136231319,6,60,1800,1.66666666666667,0.008333333333333
1.66666666666667,0.008333333333333,13,-1074121691.94901,-1013455940.0761,548955067409.761,0.496823026439299,6,60,1800,1.66666666666667,0.008333333333333
1.66666666666667,0.008333333333333,13.5,-1077320445.38979,-1018575562.296,551728394414.283,0.504108565091332,6,60,1800,1.66666666666667,0.008333333333333
1.66666666666667,0.008333333333333,14,-1079767832.75467,-1022855767.36847,554046510928.947,0.511196480800791,6,60,1800,1.66666666666667,0.008333333333333
1.66666666666667,0.008333333333333,14.5,-1081531147.59119,-1026367363.53321,555948813748.788,0.518096888610259,6,60,1800,1.66666666666667,0.008333333333333
1.66666666666667,0.008333333333333,15,-1082668893.30944,-1029175167.95361,557469580973.697,0.52481784232309,6,60,1800,1.66666666666667,0.008333333333333
1.66666666666667,0.01,5,-756220320.999683,-660060483.935906,357532390118.122,0.327546291684721,6,60,1800,1.66666666666667,0.01
1.66666666666667,0.01,5.5,-788189318.56719,-695826137.67953,376905472236.091,0.339381453935286,6,60,1800,1.66666666666667,0.01
1.66666666666667,0.01,6,-816896137.458177,-728124701.845447,394400872453.256,0.350831211142962,6,60,1800,1.66666666666667,0.01
1.66666666666667,0.01,6.5,-842656634.714786,-757284855.695532,410195780385.648,0.361912823572004,6,60,1800,1.66666666666667,0.01
1.66666666666667,0.01,7,-865752256.524975,-783598422.440256,424448822769.479,0.372642399410971,6,60,1800,1.66666666666667,0.01
1.66666666666667,0.01,7.5,-886434681.407793,-807327435.253019,437302160134.512,0.383039218869276,6,60,1800,1.66666666666667,0.01
1.66666666666667,0.01,8,-904926814.792817,-828707059.684897,448882543886.813,0.393127090560298,6,60,1800,1.66666666666667,0.01
1.66666666666667,0.01,8.5,-921430755.724039,-847947223.404418,459304447485.986,0.402912399535502,6,60,1800,1.66666666666667,0.01
1.66666666666667,0.01,9,-936125895.398575,-865238200.957796,468670507313.88,0.4124074710225,6,60,1800,1.66666666666667,0.01
1.66666666666667,0.01,9.5,-949174532.125959,-880751142.503987,477073349379.355,0.421622988722881,6,60,1800,1.66666666666667,0.01
1.66666666666667,0.01,10,-960722738.062385,-894639886.666674,484596578395.191,0.430571309030255,6,60,1800,1.66666666666667,0.01
1.66666666666667,0.01,10.5,-970901622.854039,-907044482.371377,491315472945.663,0.439262718174272,6,60,1800,1.66666666666667,0.01
1.66666666666667,0.01,11,-979831815.762611,-918090618.740674,497298953588.924,0.44770681691968,6,60,1800,1.66666666666667,0.01
1.66666666666667,0.01,11.5,-987619165.691004,-927893255.683243,502608481510.906,0.455916336313913,6,60,1800,1.66666666666667,0.01
1.66666666666667,0.01,12,-994363262.7168,-936555994.474588,507300967523.621,0.463899847737509,6,60,1800,1.66666666666667,0.01
1.66666666666667,0.01,12.5,-1000151642.84878,-944173752.791354,511427220636.507,0.471666949016595,6,60,1800,1.66666666666667,0.01
1.66666666666667,0.01,13,-1005065257.42726,-950832068.688153,515033936743.331,0.479224202986339,6,60,1800,1.66666666666667,0.01
1.66666666666667,0.01,13.5,-1009177547.21674,-956609829.764951,518163517046.807,0.486580824893852,6,60,1800,1.66666666666667,0.01
1.66666666666667,0.01,14,-1012555518.5206,-961578353.427396,520854741238.862,0.493743709449367,6,60,1800,1.66666666666667,0.01
1.66666666666667,0.01,14.5,-1015259680.23892,-965802946.173647,523143037549.014,0.500724179604603,6,60,1800,1.66666666666667,0.01
1.66666666666667,0.01,15,-1017346603.68392,-969343515.08145,525060834062.46,0.507527063957573,6,60,1800,1.66666666666667,0.01
