% Model,Evan_segmented_faraday_v7_poster.mph
% Version,COMSOL 5.5.0.359
% Date,"Feb 9 2021, 17:16"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power"
0.016666666666666666,0,0.8598482535296139,1800,6,60,1968927.8641585414,649.8844653488754,24.266033753903926,-1836054.5341419198,-132874.195529345,2,50,-8.348766748368608E8
0.016666666666666666,0.008,0.8604152877097472,1800,6,60,1971535.6481972053,647.7438973581753,24.111648317638277,-1838486.3883914896,-133050.20692539078,2,50,-8.359810199714577E8
0.016666666666666666,0.012,0.8606990689979238,1800,6,60,1972841.4037433588,646.6710396503186,24.034493974293962,-1839704.0006512818,-133138.33486837219,2,50,-8.365339573568175E8
0.02641488654101856,0,0.8580509187647843,1800,6,60,1960674.9674470439,652.2243370719646,24.826296652958842,-1828356.5408927074,-132319.38475170522,2,50,-8.313789052393385E8
0.02641488654101856,0.008,0.8589323941546514,1800,6,60,1964721.1140188265,648.8631348917406,24.585908809788872,-1832129.5360515923,-132592.5214648123,2,50,-8.330922659524589E8
0.02641488654101856,0.012,0.8593736714228846,1800,6,60,1966748.2325181575,647.1759448323787,24.465832384001377,-1834019.9638149147,-132729.3744266443,2,50,-8.339507298146311E8
0.04186477385849299,0,0.8535694480484983,1800,6,60,1940173.116284854,657.6847129527557,26.231204627421704,-1809233.8055000475,-130940.26299693313,2,50,-8.22689873371679E8
0.04186477385849299,0.008,0.854897991026263,1800,6,60,1946241.0781435238,652.4653879008202,25.867765856135197,-1814891.847866197,-131350.06806529313,2,50,-8.252591731909097E8
0.04186477385849299,0.012,0.8555629811475695,1800,6,60,1949281.904370335,649.8404541310075,25.68648137010041,-1817727.2997667794,-131555.44079688282,2,50,-8.265467394101462E8
0.06635119509224956,0,0.8425179696453035,1800,6,60,1890076.856028132,668.3900143620873,29.76447605946471,-1762511.000313326,-127567.05169704594,2,50,-8.014587067290313E8
0.06635119509224956,0.008,0.8443565828923174,1800,6,60,1898368.2253213676,660.3529475487786,29.26167122823991,-1770242.5013756326,-128127.64258435449,2,50,-8.04969143633851E8
0.06635119509224956,0.012,0.8452737120705344,1800,6,60,1902510.8908660451,656.2941289662122,29.012383244139723,-1774104.9353372806,-128407.72145414246,2,50,-8.067228372043211E8
0.10515955741336554,0,0.8159902125683041,1800,6,60,1772508.3713732671,678.3354199721241,38.61174884600553,-1652874.5011278344,-119634.83980052723,2,50,-7.516324764985235E8
0.10515955741336554,0.008,0.8179141021163131,1800,6,60,1780912.4765853055,664.8513342775698,38.1231151064084,-1660709.960519517,-120203.70027978357,2,50,-7.551876977131704E8
0.10515955741336554,0.012,0.8188475974953447,1800,6,60,1784997.536878259,657.9227367778525,37.89177677438489,-1664518.4091065135,-120480.26762526207,2,50,-7.569155561909558E8
0.16666666666666666,0,0.7562316865482273,1800,6,60,1521527.4841140872,629.7703757496671,59.812486292124746,-1418892.749961864,-102635.22626678368,2,50,-6.452646967381754E8
0.16666666666666666,0.008,0.7560236199474915,1800,6,60,1520698.0618009265,595.3435944469144,60.21042617160559,-1418127.1015965391,-102571.61455925729,2,50,-6.449012070987344E8
0.16666666666666666,0.012,0.7557405627751514,1800,6,60,1519561.0036777311,576.4766465366225,60.48578280125508,-1417071.4481660984,-102490.27095597985,2,50,-6.444129139070518E8
0.26414886541018573,0,0.6389105320214675,1800,6,60,1084606.0684762124,327.26332330436765,102.41670710643339,-1011754.5108770737,-72852.0782705434,2,50,-4.600837231397914E8
0.26414886541018573,0.008,0.6305033297572922,1800,6,60,1056161.0564510084,200.44824348481117,105.78783564829465,-985305.6708094901,-70855.94030998608,2,50,-4.4800541222211975E8
0.26414886541018573,0.012,0.6255501970737335,1800,6,60,1039579.4621392301,125.59488350868196,107.7306682351458,-969889.9327928101,-69690.05733376379,2,50,-4.4096511742935777E8
0.4186477385849301,0,0.4601779209787995,1800,6,60,561018.64440415,-377.9825932748653,155.1361479932726,-524105.5122937809,-36913.42515985828,2,50,-2.381284844766064E8
0.4186477385849301,0.008,0.43640698633770003,1800,6,60,504347.61629848764,-718.5541039715885,159.35731934133202,-471510.94542138616,-32836.9918532863,2,50,-2.1406897665307677E8
0.4186477385849301,0.012,0.4227062430275948,1800,6,60,473060.2623677143,-926.6181071687918,161.33663190304358,-442493.61627149594,-30566.885927023366,2,50,-2.00785606725565E8
0.6635119509224955,0,0.27088545733233005,1800,6,60,193267.2892312693,-989.8647377358866,168.41822501739884,-181561.11778151538,-11706.26939066307,2,50,-8.215439603127478E7
0.6635119509224955,0.008,0.23518787901210284,1800,6,60,145486.31723699864,-1472.394075189448,159.8812341962332,-137376.55655656266,-8109.827842072086,2,50,-6.18472925979909E7
0.6635119509224955,0.012,0.21508368163427824,1800,6,60,121571.69180168229,-1768.5915130821713,153.78661532380997,-115314.71020498314,-6257.046056752958,2,50,-5.1681775139650226E7
1.0515955741336556,0,0.1338162012547099,1800,6,60,46662.34000681817,-980.3111017693128,125.48098447671788,-44628.680344377135,-2033.6862015019406,2,50,-1.9897204648674928E7
1.0515955741336556,0.008,0.09887482818164942,1800,6,60,25355.06891606199,-1384.4352027032467,100.92969686411756,-25075.88416800064,-279.1994954743999,2,50,-1.0814717573710132E7
1.0515955741336556,0.012,0.07986735164392293,1800,6,60,16460.868646950657,-1636.6889789536274,87.77197866840645,-16993.627021179025,532.7501200363544,2,50,-7020322.736770364
1.6666666666666667,0,0.059489891651195254,1800,6,60,9015.381835031916,-632.5683779427299,69.04082845785888,-9068.386768305929,53.00017306442588,2,50,-3865845.0994644174
1.6666666666666667,0.008,0.03302616847002089,1800,6,60,2661.815743569053,-883.3038164331805,43.468989906688115,-3348.6744420293276,686.8569832011186,2,50,-1140381.6434104338
1.6666666666666667,0.012,0.02029991061655927,1800,6,60,821.9817332453614,-1024.2506716221344,34.55742785882536,-1755.9035962311757,933.9211004471596,2,50,-348277.43293997034
